id,host_id,host_name,host_is_superhost,host_identity_verified,latitude,longitude,neighbourhood_cleansed,price,property_type,room_type,accommodates,bedrooms,bathrooms,square_feet,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,review_scores_rating,availability_365,number_of_reviews,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification
2818,3159,Daniel,t,f,52.36575,4.94142,Oostelijk Havengebied - Indische Buurt,$59.00,Apartment,Private room,2,1,1.5,,$200.00,$60.00,1,$20.00,3,15,98,70,269,t,strict_14_with_grace_period,f,f
20168,59484,Alexander,f,f,52.36509,4.89354,Centrum-Oost,$80.00,Townhouse,Private room,2,1,1,,,,2,$0.00,1,1000,88,167,288,f,strict_14_with_grace_period,f,f
25428,56142,Joan,f,f,52.37297,4.88339,Centrum-West,$125.00,Apartment,Entire home/apt,3,1,1,,$300.00,$40.00,2,$10.00,14,60,100,58,3,f,strict_14_with_grace_period,f,f
27886,97647,Flip,t,t,52.38673,4.89208,Centrum-West,$155.00,Houseboat,Private room,2,1,1,,$0.00,$0.00,1,$0.00,2,730,99,264,200,t,strict_14_with_grace_period,f,f
28871,124245,Edwin,t,t,52.36719,4.89092,Centrum-West,$75.00,Apartment,Private room,2,1,1,,,,1,$0.00,2,1825,97,123,295,f,moderate,f,f
29051,124245,Edwin,t,t,52.36773,4.89151,Centrum-West,$55.00,Apartment,Private room,1,1,1,,,,1,$0.00,2,730,95,155,446,f,moderate,f,f
31080,133488,Nienke,f,t,52.35132,4.84838,Zuid,$219.00,Apartment,Entire home/apt,4,3,1,,,$60.00,4,$30.00,3,365,95,0,32,f,moderate,f,f
42970,187580,Micha,t,f,52.36781,4.89001,Centrum-West,$159.00,Bed and breakfast,Hotel room,2,1,1,,$300.00,$35.00,1,$0.00,3,1100,98,47,460,t,strict_14_with_grace_period,f,t
43109,188098,Aukje,f,t,52.37537,4.88932,Centrum-West,$210.00,Apartment,Entire home/apt,4,2,1,,,$35.00,2,$60.00,13,14,97,0,690,f,moderate,f,f
43980,65041,Ym,t,f,52.35746,4.86124,Zuid,$100.00,Apartment,Entire home/apt,2,1,1,700,$300.00,$50.00,4,$0.00,30,365,80,153,61,f,strict_14_with_grace_period,t,t
44391,194779,Jan,f,t,52.37017,4.91438,Centrum-Oost,$240.00,Apartment,Entire home/apt,4,2,1.5,484,$0.00,$50.00,2,$0.00,3,730,94,4,36,f,moderate,f,f
46386,207342,Joost,f,t,52.35247,4.90825,De Pijp - Rivierenbuurt,$150.00,Apartment,Entire home/apt,2,1,1,721,$250.00,$50.00,2,$50.00,3,1825,93,0,3,f,flexible,f,f
47061,211696,Ivar,f,t,52.36799,4.87447,De Baarsjes - Oud-West,$140.00,Apartment,Entire home/apt,3,2,1,,$250.00,,2,$25.00,2,60,96,101,182,f,flexible,f,f
48076,219080,Franklin,t,f,52.38042,4.89453,Centrum-West,$350.00,Apartment,Entire home/apt,4,3,2,,$0.00,$0.00,4,$50.00,6,30,97,75,190,f,strict_14_with_grace_period,f,t
49552,225987,Joanna & MP,t,t,52.37925,4.89023,Centrum-West,$220.00,Guest suite,Entire home/apt,4,2,1,1507,$500.00,$50.00,2,$50.00,3,1124,98,269,337,f,strict_14_with_grace_period,f,f
49790,227530,Klaas,t,f,52.36266,4.86103,De Baarsjes - Oud-West,$250.00,Boat,Entire home/apt,4,2,1,,$400.00,$50.00,2,$50.00,3,365,99,201,103,f,strict_14_with_grace_period,f,f
50515,231864,Karin,f,t,52.37727,4.83925,Bos en Lommer,$120.00,Townhouse,Entire home/apt,6,3,1,,$100.00,$75.00,4,$30.00,4,15,94,52,15,f,moderate,f,f
50518,231806,Nikki,t,f,52.38201,4.87865,Westerpark,$125.00,Apartment,Entire home/apt,2,1,1,,$0.00,$30.00,2,$50.00,1,1120,96,2,100,t,strict_14_with_grace_period,f,f
50523,231946,Raymond,t,f,52.36841,4.88413,Centrum-West,$115.00,Bed and breakfast,Private room,2,1,1,,,,1,$0.00,2,365,97,246,261,f,moderate,f,f
50570,232321,Evert,t,t,52.37774,4.84891,Bos en Lommer,$90.00,Apartment,Entire home/apt,3,1,1,,$0.00,$60.00,2,$25.00,4,30,91,0,157,f,strict_14_with_grace_period,f,f
52490,185836,VictorLuke,f,f,52.37005,4.93869,Oostelijk Havengebied - Indische Buurt,$80.00,Apartment,Private room,2,1,1.5,226,$0.00,$0.00,1,$0.00,3,80,93,8,93,f,strict_14_with_grace_period,t,f
53067,246493,DoJo,t,f,52.35339,4.90064,De Pijp - Rivierenbuurt,$87.00,Guest suite,Private room,2,1,1,,$0.00,$25.00,2,$0.00,2,150,93,0,345,t,moderate,f,f
53671,247822,Georg,f,t,52.38905,4.88559,Westerpark,$75.00,Guest suite,Private room,2,1,1,,$150.00,,1,$0.00,3,14,91,307,299,t,flexible,f,f
53692,246493,DoJo,t,f,52.35348,4.90049,De Pijp - Rivierenbuurt,$60.00,Guest suite,Private room,4,1,1,,$0.00,$30.00,3,$25.00,1,150,92,29,288,t,moderate,f,f
55256,260785,Lotte,f,t,52.37126,4.90351,Centrum-Oost,$86.00,Apartment,Private room,2,1,1,431,$0.00,$25.00,1,$20.00,1,365,92,12,168,f,flexible,f,f
55621,262846,Bharati,f,f,52.35386,4.89772,De Pijp - Rivierenbuurt,$222.00,Apartment,Entire home/apt,4,2,1,,$200.00,$90.00,1,$0.00,3,24,95,3,31,f,moderate,f,f
55703,263214,Arjan,f,f,52.37561,4.85819,Bos en Lommer,$250.00,Apartment,Entire home/apt,4,3,1,1184,$500.00,$50.00,1,$50.00,3,31,100,256,3,t,flexible,f,f
55709,263233,Jan-Willem,f,t,52.35896,4.89726,Centrum-Oost,$159.00,Loft,Entire home/apt,3,1,1,0,,$35.00,2,$35.00,2,2,99,35,54,f,strict_14_with_grace_period,f,f
55807,263844,Rai & Clo,f,f,52.36966,4.86203,De Baarsjes - Oud-West,$60.00,Apartment,Private room,2,1,1,,,$15.00,1,$0.00,2,7,97,122,156,f,strict_14_with_grace_period,f,f
